,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Pigr,Pigr,Pigr,Pigr,Pigr,Pigr,Gpam,Gpam,Gpam,Gpam,Gpam,Gpam,Acly,Acly,Acly,Acly,Acly,Acly
,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1
26,5390,856,2731,0.8629522894652578,0.66371136559537,0.7503306187791466,22901,14194,7004,0.6173608303005796,0.7657916736331717,0.6836119402985075,5522,2942,1626,0.6524102079395085,0.7725237828763291,0.7074045605944146,1656,1367,963,0.5478001984783328,0.6323024054982818,0.587025877348458
27,5580,933,2541,0.8567480423767849,0.6871074990764684,0.7626076260762608,23606,14968,6299,0.6119666096334319,0.7893663267012205,0.6894376378159728,5665,3199,1483,0.6391019855595668,0.79252937884723,0.7075943042717961,1723,1496,896,0.5352593973283628,0.6578846888125238,0.5902706406303528
28,5726,1015,2395,0.8494288681204569,0.705085580593523,0.7705557798412058,24046,15593,5859,0.6066247887181816,0.8040795853536198,0.6915334176923962,5759,3402,1389,0.6286431612269403,0.8056799104644656,0.70623582071249,1776,1627,843,0.5218924478401411,0.6781214203894617,0.5898372633676521
29,5874,1090,2247,0.8434807581849512,0.7233099371998523,0.7787868743785217,24554,16233,5351,0.602005540981195,0.8210667112522989,0.694675493690941,5876,3642,1272,0.6173565875183862,0.8220481253497481,0.705148205928237,1840,1759,779,0.5112531258682967,0.7025582283314242,0.5918301704728209
30,6024,1152,2097,0.8394648829431438,0.7417805688954562,0.7876054128260443,25015,16887,4890,0.5969882105866069,0.8364821936131082,0.6967287311821967,5994,3897,1154,0.6060054595086443,0.8385562395075545,0.7035624156347203,1896,1888,723,0.5010570824524313,0.7239404352806414,0.5922223957519912
31,6129,1199,1992,0.8363810043668122,0.754710011082379,0.7934494142015664,25396,17382,4509,0.5936696432745804,0.8492225380371176,0.6988154038771103,6072,4053,1076,0.5997037037037037,0.8494683827644096,0.7030625832223701,1939,1996,680,0.49275730622617536,0.7403589156166476,0.5916997253585597
32,6303,1317,1818,0.8271653543307087,0.7761359438492796,0.80083857442348,25873,18331,4032,0.5853090218079812,0.8651730479852867,0.6982417790012009,6184,4419,964,0.583231160992172,0.8651371012870733,0.6967494789025971,1998,2199,621,0.4760543245175125,0.7628865979381443,0.5862676056338029
33,6477,1439,1644,0.8182162708438605,0.7975618766161803,0.8077570617945999,26356,19289,3549,0.5774126410340673,0.8813241932787159,0.69771012574454,6296,4718,852,0.571636099509715,0.8808058198097369,0.6933157141283999,2058,2425,561,0.4590675886683025,0.7857961053837342,0.5795550549141087
34,6547,1519,1574,0.8116786511281924,0.8061815047407954,0.8089207388645209,26529,19836,3376,0.5721772889032676,0.8871091790670457,0.6956601547135178,6332,4906,816,0.5634454529275672,0.8858421936205931,0.6887849450668987,2074,2541,545,0.4494041170097508,0.7919053073692249,0.5734033729610174
35,6658,1641,1463,0.8022653331726715,0.8198497721955424,0.8109622411693057,26892,20561,3013,0.5667081111836976,0.899247617455275,0.6952609943380129,6409,5195,739,0.5523095484315753,0.8966144376049244,0.6835537542662116,2117,2727,502,0.4370355078447564,0.8083237877052311,0.5673321720487741
36,6754,1749,1367,0.7943078913324709,0.831670976480729,0.8125601539942253,27176,21230,2729,0.5614180060323101,0.9087443571309146,0.6940531981458544,6474,5417,674,0.5444453788579598,0.9057078903189704,0.6800777351751668,2150,2874,469,0.42794585987261147,0.8209240168003055,0.562606306424179
