,combination,combid,number,precision,recall,F1
61,"('Acly', 'Ube2z', 'Gpam')",2,3,0.9096647801480191,0.9454038157001734,0.9271900306918611
62,"('Acly', 'Ube2z', 'Gpam')",2,3,0.8651373465809468,0.9421592807701488,0.9020070838252656
63,"('Acly', 'Ube2z', 'Gpam')",2,3,0.8934220131397518,0.9416139511027526,0.916885170849461
64,"('Acly', 'Ube2z', 'Gpam')",2,3,0.8980716253443526,0.9366361236216804,0.9169485727317648
65,"('Hnf4a', 'Ube2z', 'Gpam')",3,3,0.9321347964822165,0.8852834651489393,0.9081052392144969
66,"('Hnf4a', 'Ube2z', 'Gpam')",3,3,0.9296758496193391,0.8932207224191238,0.9110837627874779
67,"('Hnf4a', 'Ube2z', 'Gpam')",3,3,0.8832547169811321,0.8938658604503142,0.8885286092767607
68,"('Hnf4a', 'Ube2z', 'Gpam')",3,3,0.9101569236075185,0.9023764746110446,0.90625
69,"('Hnf4a', 'Ube2z', 'Gpam')",3,3,0.9195541555609401,0.8840658487342755,0.9014608654341026
70,"('Acly', 'Hnf4a', 'Ube2z', 'Gpam')",0,4,0.9204579025110783,0.9212062975829699,0.9208319479847796
71,"('Acly', 'Hnf4a', 'Ube2z', 'Gpam')",0,4,0.9160220172567688,0.9286629967574089,0.9222991949073207
72,"('Acly', 'Hnf4a', 'Ube2z', 'Gpam')",0,4,0.8733143542103686,0.927440528283873,0.899563992746074
73,"('Acly', 'Hnf4a', 'Ube2z', 'Gpam')",0,4,0.9060544562827668,0.915968541631048,0.9109845264410814
74,"('Acly', 'Hnf4a', 'Ube2z', 'Gpam')",0,4,0.9045737729828294,0.924522441372884,0.9144393241167434
